INFO  2016-04-27 13:21:34,771 [Thread-4] WindowsService.FileSystemData:getFileSystemInfo(85): System Type name : NTFS
INFO  2016-04-27 13:21:34,774 [Thread-4] WindowsService.FileSystemData:getFileSystemInfo(89): Type : 2
INFO  2016-04-27 13:21:34,766 [Thread-1] WindowsService.CpuData:getDataFromCpu(52): Total system cpu time servicing softirqs : 0
INFO  2016-04-27 13:21:34,775 [Thread-1] WindowsService.CpuData:getDataFromCpu(53): Total system cpu involuntary wait time : 0
INFO  2016-04-27 13:21:34,775 [Thread-4] WindowsService.FileSystemData:getFileSystemInfo(93): Type Name : local
INFO  2016-04-27 13:21:34,775 [Thread-1] WindowsService.CpuData:getDataFromCpu(54): Total system cpu kernel time : 14369343
INFO  2016-04-27 13:21:34,776 [Thread-1] WindowsService.CpuData:getDataFromCpu(55): Total system cpu time : 215536983
INFO  2016-04-27 13:21:34,775 [Thread-4] WindowsService.FileSystemData:getFileSystemInfo(97): **************************************
INFO  2016-04-27 13:21:34,777 [Thread-1] WindowsService.CpuData:getDataFromCpu(56): Total system cpu user time : 74904250
INFO  2016-04-27 13:21:34,778 [Thread-1] WindowsService.CpuData:getDataFromCpu(57): Total system cpu io wait time : 0
INFO  2016-04-27 13:21:34,778 [Thread-4] WindowsService.FileSystemData:getFileSystemUsage(106): Inside getFileSystemUsage 
INFO  2016-04-27 13:21:34,779 [Thread-1] WindowsService.CpuData:getDataFromCpu(49): Total system cpu idle time : 119686218
INFO  2016-04-27 13:21:34,780 [Thread-1] WindowsService.CpuData:getDataFromCpu(50): Total system cpu time servicing interrupts : 0
INFO  2016-04-27 13:21:34,781 [Thread-1] WindowsService.CpuData:getDataFromCpu(51): Total system cpu nice time : 0
INFO  2016-04-27 13:21:34,782 [Thread-1] WindowsService.CpuData:getDataFromCpu(52): Total system cpu time servicing softirqs : 0
INFO  2016-04-27 13:21:34,785 [Thread-1] WindowsService.CpuData:getDataFromCpu(53): Total system cpu involuntary wait time : 0
INFO  2016-04-27 13:21:34,786 [Thread-1] WindowsService.CpuData:getDataFromCpu(54): Total system cpu kernel time : 14836625
INFO  2016-04-27 13:21:34,787 [Thread-1] WindowsService.CpuData:getDataFromCpu(55): Total system cpu time : 215536983
INFO  2016-04-27 13:21:34,787 [Thread-1] WindowsService.CpuData:getDataFromCpu(56): Total system cpu user time : 81014140
INFO  2016-04-27 13:21:34,788 [Thread-1] WindowsService.CpuData:getDataFromCpu(57): Total system cpu io wait time : 0
INFO  2016-04-27 13:21:34,789 [Thread-1] WindowsService.CpuData:getDataFromCpu(66): **************************************
INFO  2016-04-27 13:21:34,789 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(73): Inside getDataFromCpuInfo
INFO  2016-04-27 13:21:34,793 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,795 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,796 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,796 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,797 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,798 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,799 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,799 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,800 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,800 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,801 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,801 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,802 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,803 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,804 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,805 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,805 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,806 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,806 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,807 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,808 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,808 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,809 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,809 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,810 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,811 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,811 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,812 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,812 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,815 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,816 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,816 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,818 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,818 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,820 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,822 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,823 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,825 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,826 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,829 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,830 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,830 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,832 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,833 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,833 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,835 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,836 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,845 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
INFO  2016-04-27 13:21:34,846 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(87): CPU vendor id : Intel
INFO  2016-04-27 13:21:34,847 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(81): CPU cache size : -1
INFO  2016-04-27 13:21:34,848 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(82): Number of CPU cores per CPU socket : 16
INFO  2016-04-27 13:21:34,848 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(83): CPU speed : 2394
INFO  2016-04-27 13:21:34,849 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(84): CPU model : Core(TM) i5-4210U CPU @ 1.70GHz
INFO  2016-04-27 13:21:34,851 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(85): Total CPU cores (logical) : 4
INFO  2016-04-27 13:21:34,853 [Thread-1] WindowsService.CpuData:getDataFromCpuInfo(86): Total CPU sockets (physical) : 4
